,date,reviews,stars,route,country,year
17,2024-06-18,Four pleasant time flights friendly helpful staff The guy LHR SFO leg exceptional I regret I forgotten name Only negative food SFO LHR leg The advertised filet steak akin stewing steak inedible Sadly not occasion I food US UK flights sub standard Otherwise happy recommend BA,9,Belfast to San Francisco via London,United Kingdom,2024
18,2024-06-18,We travel extensively years tend use BA regular trips possible recent years overall good service however recently experienced flight delays operational issues flight cancellations poor check experiences etc On last two recent trips one Zurich another Iceland cancelled return flight hour prior scheduled departure time despite flight showing time problems reported We returned Iceland experience one worst ever BA Again flight cancelled due operational reasons made matters worse occasion flight quite early We went bed around pm night checked flight showed time issues reported went sleep fairly rest assured flight would fine We woke discovered flight cancelled without warning We left virtually return flight options day It soon got worse earliest flight option offered BA days later We opted choose Tuesday BA left option If acted quickly Tuesday availability sure sell leaving us return option Wednesday onwards experienced problem BA Zurich back December We lucky occasion BA offered several flights back day Zurich case Iceland We left right predicament hotel availability Iceland limited non existent given short notice cancelled flight Our hotel fully booked hire car returned airport From logistical point view complete nightmare rebook another hire car find alternative hotels We decided search direct flights online get us back UK sooner another airline good half hour searching came across direct flight Gatwick Norwegian Air went via Oslo total journey time hours This not ideal car Heathrow Assessing options virtually none guarantees flight BA Tuesday would also proceeded time checking Norwegian Air flights time looked promising decided get booked additional expense If stayed Iceland would also incurred additional cost fight back BA insurance company Our priority return home ASAP important work personal commitments Monday return ASAP We eventually flew back fine Norwegian Air service received far superior BA The boarding process slick flights compared complete shambles BA Norwegian Air offered full food trolley service soft drinks tea also range alcoholic drinks Compare water snack bar BA Both flights time eventually landed Gatwick shortly expected arrival time We got back late home book hire car Gatwick morning contacted BA cancel alternative Tuesday flight,2,London Heathrow to Keflavik,United Kingdom,2024
19,2024-06-17,Flight delayed hour due bad weather around JFK however made flight delayed weather LHR Spending extra hour American BA lounge JFK not ideal Cold environment cold staff indifferent travellers needs One area exceptionally dirty plates tables napkins strewn floor Waited drink one serve Played game find chips crisps hidden table dark corner one areas This crazy expensive route Business Class feels like rip across airlines however quality BA business class much improved introduction suites The privacy big improvement seat comfort I managed good hr sleep overnight red eye flight Food service efficient wanted trick late night Aside getting decent rest relatively short flight highlight flight attendant Unfortunately I catch name superb responsive requests I made remembered name throughout flight A small valued touch often missing business class flight attendants BA Very good experience round except price reflected value money rating,8,New York JFK to London Heathrow,United Kingdom,2024
20,2024-06-17,A full flight made Premium Economy feel little less premium expect price however smaller cabin configuration slightly roomier seating made journey relaxing enough Catering pretty good inflight service efficient friendly Arrived time delays baggage delivery No complaints PE served function relatively short hr flight,7,London to newark,United Kingdom,2024
21,2024-06-16,The worst airline I ever flown Could not check flight open I hours flight not days Asked husband could fly flight also flying club Europe later flight I could see online room plane I The agent said change flight ticket counter never heard This could done online calling British Airways I already tried online asked telephone number call British Airways agent not number call So I looked called several numbers online I got office closed Saturdays I asked ticket agent Explained going mother memorial would nice could get flight I They still refused help So stayed flight leaving hours later got cancelled spend night Florence They routed flight London via Edinburgh And lost suitcase You make stuff As flight BA I got several emails messages advising delayed I decided go gate original flight time guess It boarding time I imagine number people might missed It awful awful airline I never fly I possibly avoid,1,Florence to Heathrow,United States,2024
22,2024-06-15,I surprised able give favourable review flight European Business Class typically x seating middle seat group three left empty Leg room never generous BA bottom generous barrel respect However occasion least flight one hour not issue Cabin crew great professional efficient cabin clean aircraft seemed pretty date I surprised find business class served afternoon tea complete champagne much nicer poor Prosecco lounge We three small sandwiches chocolate cake choice plain fruit scone Strawberry jam clotted cream side wanted It tasted great I try chocolate cake enough time eat landing The crew worked hard complete service time well done,8,London to Manchester,United Kingdom,2024
23,2024-06-10,Flew British Airways BA London Heathrow Amsterdam I able check BA First Class check area Terminal fast efficient The lounge quite busy however I able find space The food snacks drinks available excellent overall service I also like BA First Class Check area security clearance fast Boarding little chaotic however boarded time take runway close departing gate therefore delays The flight quite good cabin crew meal service,9,London to Amsterdam,United Kingdom,2024
24,2024-06-09,BA cancelled flight Tokyo LHR I booked next day flight There another flight day I went desk flight full BA charge offers another flight Hong Kong would h flight time I declined asked stay next day flight To dismay cancelled next day flight without telling I think annoyed I accept offer spent sometime looking In fact I one annoyed cancelling flight I ended flying another airline downgrading Poor service appalling behaviour You expect better BA,1,Tokyo to Manchester via London,United Kingdom,2024
25,2024-06-06,I strongly advise everyone never fly British Airways I know never We business class seats booked early morning flight Heathrow SF flight cancelled evening flight We luckily checked email went bed found canceled We called BA waiting minutes someone answer call person finally said going move us United Air flight leaving hour later Heathrow SF next day He told us flight number said booked us business class seats It took long time get worked got hours sleep night looked like resolved Then however got Heathrow early next morning found BA person not complete booking needed United could not give us seats They said needed call BA get complete change But despite numerous attempt could not get anyone answer phone BA This went hours Finally grace god hours stress trying figure found United ticket agent airport personally called BA us got fix problem So Heathrow ended leaving SF late afternoon totally exhausted The United air ticket agent saved us allows us get home She also said problems common BA,1,Heathrow to San Francisco,United States,2024
26,2024-06-03,My partner I BA return flight Tampa Gatwick I excited paid upgrade Business Class partner flies BC BA lot work second time decided end holiday help us get quality sleep Unfortunately not Also Business Class two families children It long flight listening toddler not crying screaming seven eight hours Now not childrens fault I however think cabin crew could maybe internvene helped little also BA informed us paid alot money quite frankly could saved money economy ticket least would grand better What checking ground staff treating us inconvenience rethink BA moving forward,5,Tampa to Gatwick,United Kingdom,2024
27,2024-06-01,We Premium Economy return flight Los Angeles London The outbound flight cancelled hours notice instead take economy flight via Dublin London That annoying happens What really difficult understand BA response since I raised claim return flight completed I instructed It nearly months response one early March title not forgotten case We really sorry still waiting response us We know long time since contacted us service expect Rest assured not forgotten case Our Customer Relations team working extremely hard respond soon possible Thank continued patience You check status case Please accept sincere apologies We look forward speaking soon I called month ago enquire told hearing within week This extremely poor customer service addition inconvenience stress late cancelled flight delays change class flight British Airways really seems decline many friends long time customers like us flights cancelled delayed little commitment make right I member Flying Club years treat loyal customers BA,1,Los Angeles to London,United States,2024
28,2024-06-01,I like review flight British Airways Hannover London Heathrow Firstly website easy use however I object policy put place regards pay preferred seating Checking online easy process presented fee select seat At boarding gate Hannover staff superb insisted people larger bags turned bags check I included The staff fair polite imposed policy evenly firm polite manner The flight took reasonably time The cabin crew good coped really well entirely full flight The usual small bottle water tiny snack size UK p coin issued passengers On flight Captain vocal nicest possible way He oozed sense professionalism well spoken clear informative announcements Disembarkation orderly however cabin crew nowhere seen leaving aircraft Given short flight given full nature flight cabin crew deserve applause professionalism This experience turned around less positive experience airline months ago Well done ground staff cabin crew making pleasant civilized journey,9,Hannover to London Heathrow,United Kingdom,2024
29,2024-05-31,We flown British Airways times last trip far worst experience We able check online system accept passport info wait check upon arrival airport We arrived two hours scheduled departure The line backed stations staffed room least attendants help expedite check We talked people line unable check online It took desk attendants hour check people ahead us We told agent tried check online accept passports replied need verify passport personally I asked verify way anyway I also let know attempted move closer front plane could see seats available secure finish check She went tell us full flight able choose seats We reached gate ask agents moving another section confirmed availability During flight service not expected based previous flights We saw flight attendants food service twice pickup trash Every time I went lavatory least attendants standing around chatting instead taking care passengers The attendants seemed uninterested inexperienced even snapping confused passenger regarding seat belt The flight attendants disappointing say least No available air control vents us option air flow whole plane Upon landing went baggage carousel claim bags An hour later still bags Finally message came loudspeakers elevator plane broken ETA bags still unknown About minutes later bags started slowly appear belt Overall worst BA flight experienced,2,Austin to London Heathrow,United States,2024
30,2024-05-31,I sat plane Vienna airport three hours take After arriving London I sent connecting flight told plane already closed I go back terminal I flown Johannesburg Virgin I arrived luggage not taken I received five days later I waiting compensation nine months Never British Airways,1,Vienna to Johannesburg via London,Austria,2024
31,2024-05-30,It almost pm supposed take still sitting plane airport The worst part not technical issue kept us grounded fact offered half glass water entire time board Being hungry dehydrated not helped situation,1,Johannesburg to Heathrow,South Africa,2024
32,2024-05-29,I booked long haul flight Singapore British Airways I thought I could rely provide good reliable service Unfortunately case hence review Knowing I would able fall asleep watching movies TV shows flight entertainment system something I looking forward overnight flight However console work instead I loud screaming toddler seat behind kept kicking seat babies Front Only two hours already hell journey told buy WiFi pass get fully reimbursed I followed several times throughout flight cabin crew assured take note seat number someone customer service contact reimbursement This case After waiting several days I contacted instead reimbursement I use towards nice meal holiday given AVIOs I never want fly give service points I told cabin crew I would refunded reason I even bought WiFi pass not even good enough watch anything connection quality poor What waste flight These hrs life I never get back forever remember I remember BA brand longer Their cabin crew seemed overworked overwhelmed even pressed attention buzzer one came If avoid booking BA go ahead,2,London Heathrow to Singapore,United Kingdom,2024
33,2024-05-26,A premium price sub par product flew BA LHR HKG return May We originally booked aircraft allocated club suites paid seat selection A couple months prior trip aircraft changed layout yin yang seat configuration We allocated middle seats paid select window aisle The hard product poor seat space lacks form storage remains accessible seat flat position nowhere put specs book phone Additionally window seat passenger climb feet another passenger use toilet etc really poor layout The planes legs journey tired shabby The crew outward journey enthusiastic helpful return crew seemed less adept managing service The outbound catering acceptable presentation tiny plates not compare favourably competitors The catering inbound poor The welcome champagne truly awful This poor product premium price sad say pair self funding passengers choose repeat experience The lounge Heathrow outbound sector packed rafters poor experience Very disappointing,3,London Heathrow to Hong Kong,United Kingdom,2024
34,2024-05-20,Really terrible user experience British Airways website full glitches I even choose seat due cookie problems Never problem airlines,3,Boston to London,United States,2024
35,2024-05-18,Very impressed BA Check online little convoluted everything great We flew standard economy paid choose seats seems standard airlines keep initial prices worth could sit together Meals excellent drinks great A simple water biscuit short internal leg still included drink main meal snack hour leg better last trip Emirates They gave double drinks drink service cokes beers partner well pleased Staff friendly bags transfered arrived good condition entertainment route good Will definitely choose BA airlines,9,New York to Manchester via London,United Kingdom,2024
36,2024-05-14,LHR SFO LAS LGW August Club World It shame British Airways experience split mixture fantastic ground cabin crew dated products dreadful service Our flight San Francisco A interior showing age Two seats issues would not recline dividing screen next seat would not stay temperamental recline IFE would not respond controls Crew board great dated aging product top dollar charged upgraded years ago A shame great aircraft Coming back Las Vegas LGW tired We informed check issue seats pre booked paid would need moved Seats moved fine worked The original seats people appeared fine Flight late landing departing due weather conditions Vegas aircraft turned round super quick time impressive Where BA really let flight experience After months got acknowledgement avios credit issues flight SFO We still waiting months later Avios points used pay seat selection refunded Las Vegas London Gatwick leg flight Despite numerous attempts contact got back us Our Avios account page BA load recent transactions not list flights taken last months Won travelling BA long long time dated poorly maintained board products appalling customer service,3,London to San Francisco,United Kingdom,2024
37,2024-05-08,I flew Malaga via LHR Boston th May arrival Boston discovered luggage still London Filed report days later sign luggage The baggage customer service joke Not interested clients giving good service Updates useless I know luggage sitting Boston since th I air tag inside The airline seem intention getting luggage The robots FB messenger twitter useless I opened complaint I checked update complaint case closed despite never contacted human This airline joke I ever get luggage back I doubt I ever fly They worse Air Canada book saying something,2,Malaga to Boston via London,Canada,2024
38,2024-05-08,Milan Miami return via London Worst business class ever The layout A BA crazy The width seats outrageous aisle seats shame BA Length ok JUMP legs another passenger sleeping mode Unbelievable The system dividers reach seats crew absurd awful Never layout Meal average LHR Mia return quite good Unfortunately BA I flew March Qatar Airways business class not comparable Just highlight difference BA row seats QR seats That On top service quite strange mainly due dividers Boarding procedures look well organized beginning boarding become quite messy,1,Milan Linate to Miami via London Heathrow,Italy,2024
39,2024-05-07,BA created new low cost subsidiary BA Euroflyer flights London Gatwick From passenger point view meant mean difference service BA mainline short haul Heathrow However definitely inferior Firstly seats BA promised keep old much comfortable Pinnacle seats row refurbishment planes slimline seats however BA Euroflyer seems whole plane installed planes Despite snagging seat row ended still horrible back breaking seats lumbar support headrests One positive new seats meant seat power charge devices either The onboard service meant include complimentary food drink namely sweet savoury snack small bottle Harrogate Spa water What got horrible Nairn Raisin Oat biscuits without asking like choice water On return flight explicitly announced offered glass water free not offered service The snack sole choice pack McVities Milk Chocolate digestive hardly premium downgrade alternative upmarket offerings received flying Heathrow On way back non refurbished plane pinnacle seats welcome however clearly plane not maintained one toilet water flowing tap irritating soap wash hands going toilet I went rinse hand toilet luckily busy tap working sink draining almost overflowed Lastly cabin crew BA Euroflyer unpolished look miserable extremely demotivated A lot young talking late teens clearly inexperienced not likely stay long conditions offered BA really needs rethink product offering short haul ultimately people choose fly variety reasons invariably reason like us fly low cost rivals want peace mind less stress comfortable So replicating likes Ryanair easyJet Wizz Air alienating customer choose BA avoid kind experience offer We award ticket looking cash tickets not even cheap offer better timings rivals despite bean counting,4,Catania to Gatwick,United Kingdom,2024
40,2024-05-05,I flew British Airways Heathrow Hannover Although check process relatively quick noticeable lack staff another apparent cost cutting measure BA Upon arriving Hannover I found luggage made airport staff assist I file report online The following day I received call saying luggage would arrive later flight help since German shops closed Sundays leaving without essential items As result I confined hotel unable attend planned events I suitable clothing When luggage eventually reached Hannover airport I got call BA informing deliver another day two They advised take taxi pick said I could claim back cost I submitted claim BA refused cover taxi expenses They also declined offer compensation inconvenience caused delayed baggage even though disrupted full day trip Service return flight Frankfurt also par ground crew Frankfurt airport slow rude check BA customer service declined significantly resembling level budget airlines like EasyJet Ryanair premium price Given recent experience I avoid flying BA whenever possible,2,London to Hannover,United Kingdom,2024
41,2024-05-01,Manchester Copenhagen via London th April Aircrafts A A respectively decent condition I arrived Africa transit change terminal T cumbersome tedious Check quick easy professional got desired seats due silver status BA From T I go one worst security checks ever encountered fragmenting almost every item carry ons Their Escape Lounge T quite decent particular beer choices prosecco sparkling wine Food poor neither savoury snacks meaty food Good tarmac view First flight delayed forcing catch nd LHR within hour However I informed clearly gate upon arriving LHR assisting next gate airline managed transfer luggage extremely narrow timeslot Onboard mini bottle water bagged crumbs given fairly useless superfluous No IFE WiFi Annoying charity beggings FAs flights intrusive annoying disrespectful degrades airline Offerings onboard like discount carriers except pricier Arrived final destination time luggage,6,Manchester to Copenhagen via London,Denmark,2024
42,2024-04-30,I never seen disrespect customer It rd time months I unable check website not working properly Lost hours phone customer service team At airport I asked check hand luggage space cabin I could not recline seat staff rude unhelpful The wifi also not working I made multiple complaints one ever even contacted Never using,1,London to Valencia,United Kingdom,2024
43,2024-04-27,Paid hour long flight ticket includes use flight entertainment system Ended seat flight entertainment system malfunctioning could not used Flight attendants sought perform service recovery customer relations team Contacted said team slightly week later offer eVoucher used purchasing additional flight tickets BA Explained I intentions travelling within next two years I use eVoucher sought alternative form compensation instead something could really useful instead Customer Relations simply brushed request unable offer alternate gesture goodwill Compensation British Airways matter goodwill Pay ticket get paid full Compensation one requires spend even money airline disappoint An ultimately self serving inconsiderate undiscerning insincere compensation Which even anything feel guilty remorseful compensation gesture goodwill something deserve view,1,Singapore to London,Singapore,2024
44,2024-04-25,Very inconsiderate PA announcements made purser appearingly decided exchange career BA comedy club acting although not right setting First pre landing PA My colleague I long week British Airways dimming lights want see faces If afraid dark look passenger next Although clearly not purser intent sounded like mocking careless people aero darkness phobias may panic attack joke Very inconsiderate damages BA brand safe accessible trusted airline Second PA landing like make complaint go call EasyJet I felt genuinely insulted joke BA charged abusive fee In end I literally beg rude dismissive ground staff Madrid not check roller bag gate I recently surgery needed hold onto walk Instant noodles I purchased onboard barely edible All cabin crew except one disappeared galley loudly chatting laughing looked nuisance even I wanted pass visit lavatory And chief purser effectively announces anyone unhappy go fly someone else Wake BA You already worse EasyJet Ryanair terms value money I note ones found purser jokes funny cabin crew made vulgar laughs passengers remained dead silent I understand airlines scaling back services cut costs I never understand allow staff openly mock insult passengers I BA Silver member loyal BA customer years A disgrace,1,Madrid to London Heathrow,United Kingdom,2024
45,2024-04-22,Absolutely terrible lost luggage flights delivered days later smashed pieces A lete departure caused miss connecting flight yielding hour delay aircraft oversubscribed dirty unpleasant persistent odour Food genuinely horrible I ex forces I eat almost anything usually,1,Austin to London Heathrow,United Kingdom,2024
46,2024-04-20,We booked premium economy round trip Phoenix Zurich via AA codeshare operated British Airway On way return flight back Phoenix February th first leg BA flight Zurich London Heathrow delayed departure cause us missed BA connection flight Heathrow Phoenix First problem dash terminal security check point PM airplane still gate not depart PM schedule almost min point however terminal security stopped us told not pass thru security due airline requirement later realized flight not leave PM We directed customer service book flight When got BA customer service transfer counter one agent available least passengers waiting lines told BA short staffs due British holiday end February soccer championship match Sunday took us least hour half rebook flight next day also seems not much option want back Phoenix different flight day Then agent booked flight told us printer broken need go Zone terminal get ticket hotel voucher printed We found Zone ticket voucher hand assure agent luggage next day flight us well We also told shuttle bus around corner take us hotel however map detail direction provided took us find shuttle back side terminal time arrived hotel tired Next day arrived airport hours ahead scheduled departed time PM I noticed checked two bags not spot based iPhone Find feature I Apple Air Tag checked bags I checked gate agent confirmed one checked bag associated flight Luckily flight delayed two hours bag made flight While flight team young flight attendants generally pleasant missed service meal I not order special meal popular chicken dish not available came row I told chicken dish ok told give minutes bring different chicken dish however totally forgot came back collect trash I mentioned forgot chicken dish surprised acting like I lying Overall I think premium economy flight BA worst experience recent memory As British flagship carrier seem care I emailed sent experience customer service responded standard corporate reply one email templates,1,Zurich to Phoenix via Heathrow,United States,2024
47,2024-04-12,We chose Rotterdam London City airport convenience small hotel Docklands meant short distance City Airport Three hours departure flight canceled however Disappointing made swift move Amsterdam Schiphol Airport unfortunately offered flight Heathrow meant almost hours tube hotel Flight back operated LCY RTM mins delay terms punctuality BA not reliant The flights okay snack drink The E far comfortable seating legroom A Our extra expenses cancelled flight handled promptly got money extra transport food back BA good job respect But hesitant book though airline flying RTM LCY,6,Rotterdam to London City,Netherlands,2024
48,2024-04-10,The entire booking ticketing experience stressful erroneous I booked directly BA I thought go airline home headquarters UK I need go UK Mistake This months ago I could not cancel change flight without paying cancel flight money sitting year account otherwise lost minus hundred taxes As I really flying American Airlines another partner I check without redirected Then sites recognize I appear AA Aer Lingus applications I ask time change planes London despite reviews saying long hard would mean cancel plane ticket loss money I phone agents hour different calls Their app not let without time reset passcode minute wait email I get error,1,Kansas City to Dublin via Heathrow,United States,2024
49,2024-04-10,British Airways cancelled flight less hours Automatically rebooked days later I called customer service times trying change would Not help My daughter flying different reservation I legally blind I needed flight care would help We eventually bought new tickets easyJet When arrive home I entered complaint get fare refunded It took months response cancelled strike Spain refund EasyJet cancel The whole experience awful disappointing,1,Tenerife to London,United States,2024
50,2024-04-07,I wanted write review I could give huge thank one staff Lisbon named Jay Ramphul She went beyond really helped urgent situation I boarded flight minutes take I realized I left cell phone club lounge I not going get permission deboard get back time take Jay stepped made happened She literally ran far distance retrieve phone get back plane within minutes take This true service I know review ever get back management I hope I want express gratitude help kindness matter,10,Lisbon to San Diego,United States,2024
51,2024-04-03,Check fast friendly Security breeze Lounge busy early evening comfortable clean Flight attendants welcoming Seat nightmare reverse forward step window seat hell thought good idea Meal OK curry based like curry I flight India FA brilliant flyer awake overnight flight Improving since last BA flight,7,London Heathrow to Mumbai,United Kingdom,2024
